140_temperature,140_humidity,140_pressure,140_pm1,140_pm25,140_pm10,169_temperature,169_humidity,169_pressure,169_pm1,169_pm25,169_pm10
17,41,100689,11,8,15,17,48,100616,9,7,11
18,41,100669,9,7,13,17,48,100591,6,5,9
18,39,100686,10,7,13,18,46,100613,6,5,9
18,40,100690,11,8,14,18,46,100612,7,6,10
17,45,100726,13,10,18,17,51,100653,9,7,12
15,50,100779,14,11,19,16,56,100693,10,8,14
15,55,100810,15,11,20,15,61,100724,11,9,15
12,77,100775,20,15,27,13,81,100718,14,12,19
11,84,100760,31,27,48,13,88,100706,22,20,34
11,87,100759,38,35,64,13,90,100741,33,32,55
11,85,100752,28,24,42,13,88,100732,16,14,24
10,94,100768,29,26,46,12,94,100722,16,14,23
10,92,100729,33,29,55,11,92,100690,20,17,28
9,97,100734,37,35,63,10,97,100690,22,20,34
9,94,100743,40,39,71,11,94,100696,25,23,40
9,88,100788,37,35,65,11,90,100749,29,28,49
7,88,100847,34,32,59,9,90,100816,30,30,52
6,88,100848,21,18,32,9,90,100829,23,21,37
6,87,100898,18,15,27,9,90,100865,19,17,29
5,94,100972,20,17,31,8,94,100961,18,17,29
5,94,101007,22,19,34,8,94,100985,20,18,31
5,93,101047,24,20,36,8,94,101030,17,16,27
5,94,101039,17,13,24,8,94,101031,13,12,20
5,92,101051,13,10,19,8,92,101035,20,19,32
5,97,101075,9,8,14,7,97,101058,11,9,16
6,92,101089,14,11,20,8,92,101067,22,21,34
6,94,101074,17,14,25,8,94,101061,12,10,17
6,94,101077,15,12,21,8,94,101064,12,11,18
5,94,101088,21,17,31,8,94,101073,15,13,23
6,94,101051,25,20,36,8,94,101039,17,16,26
6,94,101099,25,21,38,8,94,101078,25,24,41
5,93,101081,29,26,46,8,94,101070,24,22,38
5,94,101109,31,29,51,7,94,101099,22,20,35
4,94,101131,31,29,52,8,94,101130,21,20,34
4,94,101134,33,31,56,9,94,101130,22,21,36
4,94,101132,30,27,48,7,94,101119,23,21,37
4,99,101172,27,24,43,13,93,101157,21,19,33
4,98,101226,27,23,42,18,90,101208,20,18,31
4,99,101192,26,22,41,14,90,101186,19,18,31
4,99,101166,24,21,38,12,90,101156,16,15,26
4,99,101160,22,19,35,12,87,101147,14,13,23
4,100,101162,18,15,29,15,96,101149,15,14,24
4,102,101160,22,19,34,8,96,101156,18,16,28
3,103,101173,17,14,26,12,93,101174,13,12,20
4,102,101202,13,10,19,13,94,101201,10,9,16
4,101,101214,11,9,16,13,93,101208,8,8,13
4,94,101253,9,7,13,5,94,101241,8,8,13
4,94,101296,11,9,15,5,94,101285,7,6,10
5,92,101327,10,8,14,7,92,101313,3,3,5
5,94,101353,10,7,13,5,94,101337,3,3,5
5,94,101374,9,7,13,6,94,101358,8,8,14
5,92,101419,10,8,14,7,92,101397,8,8,14
5,94,101448,14,11,19,7,94,101427,12,10,18
4,93,101488,15,11,20,7,94,101468,16,14,23
4,93,101516,20,15,28,7,94,101497,22,20,34
4,94,101538,22,18,32,6,94,101526,19,17,28
4,97,101524,26,21,38,6,97,101515,22,20,34
4,97,101549,25,20,36,6,97,101537,22,20,33
4,94,101537,30,26,46,6,94,101532,27,25,45
3,100,101482,33,31,55,3,98,101478,28,27,46
3,100,101429,32,30,54,6,100,101438,14,12,20
3,100,101352,23,20,35,6,100,101359,13,12,20
3,100,101293,25,21,37,6,100,101298,11,10,17
3,100,101192,16,13,23,5,100,101205,13,11,19
4,97,101103,17,13,24,5,97,101117,12,11,19
4,93,100988,18,15,28,6,94,101004,11,10,18
4,94,100925,17,14,26,7,94,100929,10,9,16
4,94,100817,17,14,26,7,94,100834,9,9,15
4,97,100717,23,19,35,6,97,100718,9,8,14
4,100,100739,20,17,31,6,100,100717,11,10,18
5,97,100771,24,21,37,7,97,100745,14,13,22
6,94,100778,24,20,36,7,94,100756,17,16,28
6,94,100786,25,21,37,7,94,100754,15,14,24
6,97,100810,19,15,28,6,97,100779,12,11,19
6,94,100833,19,16,28,10,94,100806,11,9,16
6,90,100843,20,16,28,8,90,100815,12,11,18
7,89,100836,19,15,26,11,90,100813,12,11,18
6,94,100860,34,31,56,7,94,100826,17,15,25
5,94,100886,38,36,65,8,94,100856,26,24,42
4,100,100877,40,38,70,4,98,100857,26,24,43
4,99,100907,42,42,76,5,100,100889,29,28,48
4,99,100918,45,44,80,5,100,100902,31,30,51
4,97,100960,45,45,81,6,97,100945,31,30,51
3,100,100858,42,41,75,7,100,100848,30,29,51
4,97,100938,44,44,80,7,97,100921,30,29,51
4,91,101018,38,37,68,7,92,100997,31,30,51
3,94,101082,36,35,63,6,94,101073,25,24,42
3,91,101123,31,28,51,6,92,101115,26,24,42
3,93,101186,27,23,41,5,94,101183,17,16,27
3,93,101235,31,28,49,6,94,101232,20,18,31
3,93,101323,31,27,49,5,94,101318,20,18,30
3,94,101406,26,22,40,6,94,101404,18,16,27
3,94,101494,24,20,36,3,93,101487,14,12,21
4,86,101571,23,19,34,7,89,101570,14,12,21
4,87,101647,24,20,36,5,89,101642,13,11,20
5,82,101705,31,28,49,8,85,101696,19,17,29
6,82,101736,33,31,56,10,85,101725,23,21,36
7,69,101734,35,32,59,10,75,101716,24,22,38
9,56,101714,33,30,56,9,61,101693,24,22,39
9,63,101719,33,29,54,11,70,101679,25,23,40
10,62,101719,30,26,48,10,70,101672,23,20,35
10,61,101727,30,26,48,9,62,101680,20,18,30
11,56,101708,28,24,43,10,66,101656,21,19,32
10,56,101703,27,23,41,10,66,101654,21,18,31
10,55,101727,33,30,54,11,64,101695,21,18,30
8,69,101788,35,32,58,9,76,101755,24,22,37
7,74,101810,52,49,84,8,79,101776,44,43,67
6,84,101808,62,57,97,10,85,101777,57,57,82
5,89,101822,85,82,126,8,90,101794,60,61,86
4,89,101836,58,57,96,4,89,101815,60,61,87
4,86,101851,43,42,77,5,87,101837,78,80,112
2,94,101900,62,61,101,1,89,101877,52,53,80
2,97,101952,82,81,125,2,97,101930,46,46,74
2,94,101982,92,92,140,4,94,101966,43,43,71
2,93,102009,88,87,134,4,94,101995,54,55,81
3,97,102044,86,85,130,3,97,102034,63,65,92
4,93,102083,85,84,129,5,94,102071,66,69,98
5,94,102121,73,71,113,5,94,102104,58,60,85
5,91,102169,39,37,66,6,90,102144,20,18,30
6,85,101917,28,25,42,7,87,101920,18,17,27
7,81,102086,22,23,33,9,81,102081,17,20,26
11,86,102188,27,27,39,18,70,102162,20,22,29
13,76,102170,25,26,36,19,66,102139,19,21,27
15,62,102138,22,21,29,18,68,102104,20,23,30
22,45,102109,22,23,31,17,69,102062,20,22,30
23,41,102081,21,21,30,17,71,102035,18,19,25
18,53,102040,22,22,31,17,67,102000,16,18,24
16,59,102021,22,22,30,17,74,101986,19,20,27
13,71,102020,25,25,35,16,73,101990,26,29,40
12,78,102033,29,30,43,15,76,102010,25,28,40
11,82,102037,35,38,59,9,81,102022,30,34,49
10,88,102029,43,49,78,8,84,102008,32,37,53
9,92,102024,46,51,83,10,88,102009,37,42,63
9,96,102002,50,56,91,5,94,101991,38,44,64
8,101,101972,49,55,91,0,96,101968,35,41,60
