,ELM_prediction,ELM_real,Linear_prediction,Linear_real,KNN_prediction,KNN_real,DecisionTree_prediction,DecisionTree_real,SVR_prediction,SVR_real,RandomForest_prediction,RandomForest_real
0,27.97622415324891,23.0,28.900010842580265,23.0,26.6,23.0,31.99375,23.0,-238.52115351625656,23.0,27.262376237623762,23.0
1,35.73388631822595,29.0,29.053152295841812,29.0,34.8,29.0,33.889655172413796,29.0,54.08854195003208,29.0,32.02148514851488,29.0
2,21.975655263741903,24.0,22.62979987766084,24.0,20.2,24.0,20.443835616438356,24.0,24.053860986260037,24.0,19.36039603960396,24.0
3,10.810126000568992,13.0,11.315286649831668,13.0,12.0,13.0,10.541666666666666,13.0,10.07887386686196,13.0,11.832178217821783,13.0
4,12.48988980343681,16.5,13.732507688457408,16.5,10.8,16.5,10.961538461538462,16.5,199.5192976454445,16.5,11.03960396039604,16.5
5,13.016011194386717,17.0,14.808004876867972,17.0,14.4,17.0,12.356666666666667,17.0,21.94115602450187,17.0,14.744554455445545,17.0
6,21.506476578491004,19.0,21.558673735042937,19.0,22.2,19.0,20.443835616438356,19.0,1.1794587478628067,19.0,19.922871287128718,19.0
7,6.882229922058002,7.0,8.391814894222831,7.0,3.8,7.0,6.620689655172414,7.0,37.42299591459758,7.0,5.832673267326733,7.0
8,17.136141025036284,15.0,13.572325721602235,15.0,13.8,15.0,15.218,15.0,5.483863010684477,15.0,15.428514851485133,15.0
9,32.82874180344396,34.0,31.154853075998858,34.0,34.4,34.0,35.87924528301887,34.0,-6.764364017369051,34.0,33.512079207920806,34.0
10,17.563154322794684,19.0,22.902345275394705,19.0,17.06,19.0,20.061666666666667,19.0,77.13295742836668,19.0,19.80643564356437,19.0
11,21.150949512617974,24.0,22.13559215669389,24.0,20.06,24.0,19.539473684210524,24.0,22.242402234140187,24.0,19.915148514851424,24.0
12,14.761628396110208,20.0,18.105440449658314,20.0,14.66,20.0,14.634848484848485,20.0,10.715304917830476,20.0,14.284059405940551,20.0
13,27.7657904284363,27.0,29.250738692482365,27.0,30.46,27.0,23.93623188405797,27.0,-106.9530613416495,27.0,27.84712871287125,27.0
14,38.585487290168544,34.0,41.74571953069533,34.0,45.2,34.0,45.55733333333334,34.0,124.83287372039217,34.0,43.40405940594065,34.0
15,4.157320368903008,7.0,5.856068174141782,7.0,3.2,7.0,4.121951219512195,7.0,32.8209732989507,7.0,3.9435643564356435,7.0
16,7.509704466083139,7.0,3.964400388365643,7.0,8.0,7.0,10.541666666666666,7.0,68.49267542660138,7.0,8.313861386138614,7.0
17,14.198795063107802,13.0,15.1165549890578,13.0,15.2,13.0,16.968674698795184,13.0,16.87339306987294,13.0,14.625940594059413,13.0
18,20.181004110289976,19.0,19.18218185110151,19.0,21.14,19.0,18.5,19.0,28.67743963638942,19.0,20.972871287128672,19.0
19,12.87282719678894,7.0,13.32081761645815,7.0,11.8,7.0,13.858490566037736,7.0,41.729672132924165,7.0,12.533168316831683,7.0
20,14.942035642794327,13.0,15.029060842004682,13.0,12.6,13.0,13.858490566037736,13.0,29.637457304690052,13.0,13.2760396039604,13.0
21,11.037058378515539,12.0,10.099757755882298,12.0,9.9,12.0,10.541666666666666,12.0,-41.808470773514514,12.0,10.633663366336634,12.0
22,15.000027735122526,13.0,17.997707303988655,13.0,14.2,13.0,14.634848484848485,13.0,-31.720690853859388,13.0,13.80217821782178,13.0
23,89.28239697921893,87.0,74.98311719140258,87.0,78.4,87.0,63.51276595744681,87.0,198.81814805622616,87.0,80.88712871287129,87.0
24,3.3083519200037728,3.5,0.2810181077084657,3.5,3.7,3.5,2.746376811594203,3.5,36.76394925736244,3.5,2.6153465346534652,3.5
25,19.01524075720465,18.3,26.82838643268961,18.3,19.72,18.3,23.93623188405797,18.3,-212.15276303927124,18.3,18.808019801980073,18.3
26,7.313275643654535,4.0,8.72944815002453,4.0,7.4,4.0,8.583333333333334,4.0,-5.432646219645044,4.0,7.316831683168317,4.0
27,15.355829551073048,15.0,18.845430631495468,15.0,14.66,15.0,14.634848484848485,15.0,-10.100747750235591,15.0,15.180495049504925,15.0
28,26.497146164843187,31.0,25.439471146829447,31.0,20.4,31.0,27.2,31.0,101.55769299107835,31.0,26.635841584158403,31.0
29,13.298872556723772,9.5,15.2383518178189,9.5,8.2,9.5,12.356666666666667,9.5,-1.2405780302880167,9.5,8.814851485148514,9.5
30,26.60935650371636,26.0,25.788414246224903,26.0,26.4,26.0,22.0925,26.0,24.577867676218084,26.0,24.16118811881185,26.0
31,13.851540946717119,12.0,15.993959773783354,12.0,15.0,12.0,12.356666666666667,12.0,15.452094749789282,12.0,15.403267326732673,12.0
32,16.252421210650105,18.0,16.994461741694895,18.0,19.6,18.0,15.218,18.0,11.789969605779408,18.0,15.495247524752457,18.0
33,20.63381862101642,21.7,23.414112965667396,21.7,20.259999999999998,21.7,23.471052631578942,21.7,56.0012307194344,21.7,20.99584158415839,21.7
34,8.490741971165967,9.0,6.23344885370361,9.0,8.8,9.0,9.728813559322035,9.0,84.2651868322987,9.0,9.204455445544555,9.0
35,19.967477164253523,15.7,17.536131665407876,15.7,20.2,15.7,17.503921568627455,15.7,-0.5378491322752872,15.7,21.009603960396035,15.7
36,10.758279775613978,8.0,12.951536768128832,8.0,8.8,8.0,11.536956521739132,8.0,92.68851978506257,8.0,9.27851485148515,8.0
37,16.891696784784124,15.0,17.998127378507817,15.0,15.3,15.0,14.225641025641025,15.0,124.40724349802251,15.0,16.08970297029703,15.0
38,19.406980354428306,15.0,21.119296780182374,15.0,16.06,15.0,18.294999999999998,15.0,-15.226468111078304,15.0,18.052178217821762,15.0
39,15.71841469235962,24.0,19.45290873428895,24.0,11.2,24.0,21.500000000000004,24.0,18.5953284459919,24.0,18.26831683168317,24.0
40,13.525414589888161,18.0,15.758358060127435,18.0,13.5,18.0,12.356666666666667,18.0,14.060944584217173,18.0,14.44574257425742,18.0
