,0,1,2,3,4
0,형태,0.057692307692307696,0.011306715959480098,0.37142857142857144,0.0861083878274792
1,스모그,0.4519230769230769,0.5761226915780291,0.5636856368563685,0.4686873449627878
2,바람,0.019230769230769232,0.0002609161297845802,0.28929068150208626,0.02906284445081341
3,기온역전,0.10576923076923078,0.060200161415623704,0.3747747747747748,0.07593724400917708
4,기상,0.019230769230769232,0.0,0.27440633245382584,0.017017491708292917
5,상태,0.019230769230769232,0.0002609161297845802,0.28929068150208626,0.02906284445081341
6,발생,0.07692307692307693,0.025639547995127687,0.4388185654008439,0.20017124992492258
7,조건,0.009615384615384616,0.0,0.27296587926509186,0.007974688868707494
8,높이,0.009615384615384616,0.0,0.27296587926509186,0.007974688868707494
9,것,0.038461538461538464,0.012839682557487856,0.32653061224489793,0.06736752563903672
10,도시,0.019230769230769232,0.0021255099467195337,0.28337874659400547,0.015488320453363784
11,근처,0.009615384615384616,0.0,0.27296587926509186,0.007974688868707494
12,산맥,0.009615384615384616,0.0,0.27296587926509186,0.007974688868707494
13,데,0.019230769230769232,0.002074780941837799,0.29545454545454547,0.028543291706722738
14,한몫,0.009615384615384616,0.0,0.27296587926509186,0.007974688868707494
15,피해,0.10576923076923078,0.046578936617773146,0.38733705772811916,0.09380894678615202
16,미국,0.019230769230769232,0.0,0.369449378330373,0.07655426428222116
17,펜실베이니아주,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
18,도,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
19,광화학,0.20192307692307693,0.1365603385583785,0.465324384787472,0.2602754618369091
20,여,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
21,명,0.028846153846153848,0.0,0.3902439024390244,0.10488365201754692
22,사망,0.028846153846153848,0.0,0.3902439024390244,0.10488365201754692
23,가량,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
24,병,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
25,영국,0.08653846153846154,0.022858036430237937,0.3946869070208729,0.14877667315638207
26,런던,0.4711538461538462,0.2967212193678326,0.4511930585683297,0.381276781720507
27,집중,0.009615384615384616,0.0,0.28337874659400547,0.015623973682444527
28,현상,0.028846153846153848,4.645113340765515e-05,0.3285939968404423,0.06988486562783362
29,동안,0.019230769230769232,0.0,0.31278195488721805,0.055663028111223194
30,약,0.009615384615384616,0.0,0.28337874659400547,0.015623973682444527
31,식물,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
32,죽,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
33,건축,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
34,재의,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
35,부식,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
36,진행,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
37,서울,0.22115384615384617,0.11434142184653626,0.3969465648854962,0.19063938189747373
38,주로,0.038461538461538464,0.008096056949721077,0.3727598566308244,0.10619692873699008
39,미세먼지,0.019230769230769232,0.0,0.3734290843806104,0.06924066551755172
40,오염,0.019230769230769232,0.002406606144350884,0.32653061224489793,0.06005909604000665
41,대기,0.009615384615384616,0.0,0.28454172366621067,0.020020041611227987
42,습도,0.009615384615384616,0.0,0.28454172366621067,0.020020041611227987
43,날,0.009615384615384616,0.0,0.28454172366621067,0.020020041611227987
44,하늘,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
45,볼,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
46,수,0.019230769230769232,0.0,0.36879432624113473,0.06069469990927448
47,거리,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
48,대기오염,0.019230769230769232,0.0,0.3880597014925373,0.0892596783351024
49,겨울,0.1826923076923077,0.08195715783990286,0.3895131086142322,0.1744732603757767
50,봄,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
51,난방,0.019230769230769232,0.0028771538378725707,0.3244929797191888,0.058361564671428244
52,산업,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
53,연료,0.028846153846153848,0.0015722914481703858,0.3851851851851852,0.08811173698698857
54,연소,0.028846153846153848,0.0015722914481703858,0.3851851851851852,0.08811173698698857
55,중,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
56,황산,0.019230769230769232,0.0010766444051613063,0.2962962962962963,0.028173903338507843
57,화물,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
58,먼지,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
59,때문,0.038461538461538464,0.007022876458167302,0.36619718309859156,0.09263339901799254
60,여름,0.009615384615384616,0.0,0.2807017543859649,0.018322510242649574
61,자동차,0.038461538461538464,0.004371845041566114,0.3946869070208729,0.10691592930807453
62,질소,0.019230769230769232,0.0006434602451619094,0.2933709449929478,0.03712670256373557
63,산화물,0.019230769230769232,0.0006434602451619094,0.2933709449929478,0.03712670256373557
64,탄화수소,0.019230769230769232,0.0006434602451619094,0.2933709449929478,0.03712670256373557
65,반응,0.028846153846153848,0.0037464067795083184,0.3027656477438137,0.04860077856668632
66,주요,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
67,원인,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
68,과정,0.019230769230769232,0.0,0.37545126353790614,0.06978922674433898
69,성분,0.009615384615384616,0.0,0.3611111111111111,0.04922062390632373
70,황화,0.009615384615384616,0.0,0.31137724550898205,0.04003905442877867
71,화석연료,0.009615384615384616,0.0,0.31137724550898205,0.04003905442877867
