,0,1,2,3,4
0,초미세먼지,0.019230769230769232,0.00401746044832862,0.36406067677946324,0.07507262130565542
1,미세먼지,0.391025641025641,0.553207586085897,0.5473684210526316,0.5050148369900516
2,부유,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
3,분진,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
4,입자,0.01282051282051282,0.0,0.35903337169159955,0.06954860463186091
5,물질,0.01282051282051282,0.0,0.3611111111111111,0.05879994152880698
6,등,0.0641025641025641,0.05060054283192584,0.42162162162162165,0.18008180732828166
7,불리,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
8,명칭,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
9,약간,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
10,다른,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
11,의미,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
12,가지,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
13,미국,0.22435897435897434,0.14642019405031342,0.3989769820971867,0.20177216650484364
14,펜실베이니아주,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
15,도,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
16,명,0.01282051282051282,0.0015729462033875613,0.29714285714285715,0.03584985744928508
17,사망,0.01282051282051282,0.0007779343289793449,0.2880886426592798,0.02791549909357138
18,대기오염,0.02564102564102564,0.0043672342635818874,0.3029126213592233,0.049286535351111264
19,사고,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
20,약,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
21,명의,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
22,사망자,0.01282051282051282,0.0015729462033875613,0.29714285714285715,0.03584985744928508
23,발생,0.24358974358974358,0.18903319257043252,0.45217391304347826,0.2945724976898824
24,런던,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
25,스모그,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
26,인체,0.019230769230769232,0.0013874897411018242,0.30174081237911027,0.049113373664129746
27,영향,0.02564102564102564,0.007672027795931995,0.31675126903553297,0.06223343468177347
28,대표,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
29,사례,0.00641025641025641,0.0,0.28545288197621227,0.019671352763160163
30,그,0.1282051282051282,0.055822103456597584,0.3974522292993631,0.20839568783870643
31,이후,0.07692307692307693,0.039762986963888705,0.36662749706227965,0.09360306817068258
32,대한,0.00641025641025641,0.0,0.2846715328467153,0.020316520223184066
33,역학,0.00641025641025641,0.0,0.2846715328467153,0.020316520223184066
34,조사,0.02564102564102564,0.005969285479258768,0.32098765432098764,0.07111751830799863
35,실시,0.00641025641025641,0.0,0.2846715328467153,0.020316520223184066
36,이하,0.019230769230769232,0.0006135168899241877,0.36835891381345925,0.08687254876540149
37,취약,0.00641025641025641,0.0,0.2846715328467153,0.020316520223184066
38,집단,0.01282051282051282,0.0,0.28888888888888886,0.03386271832789329
39,질병,0.1282051282051282,0.0692423209645125,0.37681159420289856,0.1389475609339765
40,률,0.00641025641025641,0.0,0.2846715328467153,0.020316520223184066
41,사망률,0.01282051282051282,0.0,0.28888888888888886,0.03386271832789329
42,가능성,0.01282051282051282,0.000500240590410965,0.29942418426103645,0.03998787298634423
43,것,0.07692307692307693,0.060887524129224775,0.4297520661157025,0.19959377028016767
44,각,0.00641025641025641,0.0,0.2685025817555938,0.009125500677785515
45,국,0.00641025641025641,0.0,0.2685025817555938,0.009125500677785515
46,대책,0.01282051282051282,0.0005603862316080965,0.2741652021089631,0.01518184633480819
47,마련,0.00641025641025641,0.0,0.2685025817555938,0.009125500677785515
48,환경,0.01282051282051282,0.0011740488832846093,0.28862164662349676,0.02530400536391043
49,위해,0.00641025641025641,0.0,0.2685025817555938,0.009125500677785515
50,기준,0.00641025641025641,0.0,0.2685025817555938,0.009125500677785515
51,크기,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
52,먼지,0.02564102564102564,0.004353416711623769,0.376357056694813,0.08907643835522021
53,매우,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
54,구분,0.01282051282051282,0.0,0.36533957845433257,0.07794950566163164
55,지름,0.00641025641025641,0.0,0.35414301929625425,0.04923208440867684
56,원인,0.02564102564102564,0.0070564281175806666,0.33085896076352067,0.0601484489213045
57,배출,0.00641025641025641,0.0,0.3116883116883117,0.028717421252954803
58,인위,0.12179487179487179,0.0688843097259682,0.38661710037174724,0.17765153901624822
59,자연,0.00641025641025641,0.0,0.3116883116883117,0.028717421252954803
60,중국,0.019230769230769232,0.0014822797780997138,0.319672131147541,0.05268113908907605
61,발,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
62,공장,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
63,매연,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
64,쓰레기,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
65,소각,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
66,항만,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
67,지역,0.04487179487179487,0.0249653104062917,0.3557582668187001,0.10817886363427036
68,가정,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
69,생선,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
70,외,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
71,구울,0.00641025641025641,0.0,0.27906976744186046,0.017319383294359825
72,때,0.019230769230769232,0.002918418918461962,0.2957345971563981,0.040433438519199186
